name,city,state_code,country_code,latitude,longitude
Vostu,Buenos Aires,,ARG,,
Firefly Energy,Peoria,IL,USA,40.76652,-89.571813
Titan Gaming,Santa Monica,CA,USA,53.544711,-113.515769
Stardoll,Stockholm,,SWE,59.345553,18.037611
Stardoll,Stockholm,,SWE,,
VBS TV,Brooklyn,NY,USA,40.720764,-73.957968
Lehigh Technologies,Tucker,GA,USA,26.215648,-81.80187
Funtactix,New York,NY,USA,,
Mediastay,Levallois Perret,,FRA,48.891494,2.292728
Mediastay,San Francisco,CA,USA,,
9You,Shanghai,,CHN,,
Fluid Entertainment,Mill Valley,CA,USA,37.906966,-122.545763
SulfurCell,Berlin,,DEU,52.432644,13.522974
Riot Games,Culver City,CA,USA,34.0025911,-118.3942383
Carbonetworks,San Francisco,CA,USA,37.805289,-122.404448
GreenRoad Technologies,Redwood Shores,CA,USA,37.527315,-122.263434
GreenRoad Technologies,London,,GBR,,
GreenRoad Technologies,Or-Yehuda,,ISR,,
Transposagen Biopharmaceuticals,Lexington,KY,USA,38.048906,-84.499838
iStreamPlanet,Las Vegas,NV,USA,36.059658,-115.23671
iStreamPlanet,Redmond,WA,USA,,
Anvato,Mountain View,CA,USA,37.400689,-122.0572
Six Degrees Games,Marina del Rey,CA,USA,,
Atari,New York,NY,USA,,
ngmoco,San Francisco,CA,USA,37.7705096,-122.4015807
Network Foundation Technologies,Century City,CA,USA,34.057646,-118.417382
Veveo,Andover,MA,USA,42.687142,-71.212156
Veveo,Bangalore,,IND,,
UltiZen,Shanghai,,CHN,,
DeNA,Tokyo,,JPN,,
Arcadia Biosciences,Davis,CA,USA,,
Deeya Energy,Fremont,CA,USA,,
Petra Solar,South Plainfield,NJ,USA,,
Vollee,Hertzilya,,ISR,,
PPTV,Shanghai,,CHN,,
Shattered Reality Interactive,San Francisco,CA,USA,37.783046,-122.394067
PlayPhone,San Francisco,CA,USA,,
Tweegee,Ramat Gan,,ISR,32.037363,34.8003705
Tweegee,Istanbul,,TUR,,
Tweegee,Moscow,,RUS,,
Tweegee,Buenos Aires,,ARG,,
NYX Interactive,Stockholm,,SWE,,
Hangout Industries,Boston,MA,USA,42.352835,-71.0609612
UltiZen,Shanghai,,CHN,,
DeNA,Tokyo,,JPN,,
Arcadia Biosciences,Davis,CA,USA,,
Deeya Energy,Fremont,CA,USA,,
Petra Solar,South Plainfield,NJ,USA,,
Vollee,Hertzilya,,ISR,,
PPTV,Shanghai,,CHN,,
Shattered Reality Interactive,San Francisco,CA,USA,37.783046,-122.394067
PlayPhone,San Francisco,CA,USA,,
Tweegee,Ramat Gan,,ISR,32.037363,34.8003705
Tweegee,Istanbul,,TUR,,
Tweegee,Moscow,,RUS,,
Tweegee,Buenos Aires,,ARG,,
NYX Interactive,Stockholm,,SWE,,
Hangout Industries,Boston,MA,USA,42.352835,-71.0609612
Actacell,Austin,TX,USA,,
Heatwave Interactive,Austin,TX,USA,30.297775,-97.762921
Lumenergi,Newark,CA,USA,37.51821,-122.044025
MXP4,Paris,,FRA,,
Apaja,Helsinki,,FIN,60.171821,24.945167
SolFocus,San Jose,CA,USA,37.3987372,-122.0497918
Booyah,San Francisco,CA,USA,37.420728,-122.2103414
SolarCity,San Mateo,CA,USA,37.563039,-122.277639
GotGame,San Francisco,CA,USA,37.77772,-122.395785
Games2Win,"Tardeo,Mumbai",,IND,18.9742904,72.8127265
Awdio,Paris,,FRA,48.887534,2.356288
First Solar,Tempe,AZ,USA,,
Verismo Networks,Mountain View,CA,USA,37.3874345,-122.051793
Planet Metrics,San Bruno,CA,USA,37.628328,-122.420814
Machinima,West Hollywood,CA,USA,34.0906409,-118.3740745
Nantero,Woburn,MA,USA,42.500324,-71.130792
KIXEYE,San Francisco,CA,USA,,
Xendex Holding,Vienna,,AUT,,
Clear Standards,Sterling,VA,USA,39.024958,-77.389687
Wizzgo,Paris,,FRA,,
Avenir Medical,"Waterloo, ON",,CAN,,
EcoVadis,PARIS,,FRA,48.8545738,2.3216223
Oberon Media,New York,NY,USA,,
GREE,Tokyo,,JPN,,
GlassBox,"Mississauga, ON",,CAN,43.5351549,-79.6735074
IMT (Innovative Micro Technology),Santa Barbara,CA,USA,34.4356217,-119.8462682
Project Frog,San Francisco,CA,USA,,
Juneau Biosciences,Salt Lake City,UT,USA,40.718033,-111.81104
AVA Solar,Loveland,CO,USA,40.4182087,-105.0002597
Zenda Technologies,Roswell,GA,USA,34.015986,-84.388934
Wazoo Sports,London,KY,USA,37.1286,-84.0834
Playlogic,Amsterdam,,NLD,,
Heyzap,San Francisco,CA,USA,37.7905538,-122.4041485
Pythagoras Solar,Petach Tikva,,ISR,,
GAMEVIL,Seoul,,KOR,,
D2C Games,San Mateo,CA,USA,,
Sirigen,"Ringwood, Hampshire",,GBR,,
NetStreams,Austin,TX,USA,30.424305,-97.709981
C3L3B Digital,Calabasas,CA,USA,34.1549426,-118.6545471
Aurora Feint,Burlingame,CA,USA,,
Gamervision,Doylestown,PA,USA,40.3321202,-75.1184485
Powertech Technology,Taipei City,,TWN,,
RealD,Beverly Hills,CA,USA,34.067554,-118.395658
Selatra,Cork,,IRL,51.8717115,-8.5010032
Frenzoo,Hong Kong,,HKG,,
BASH Gaming,Fremont,CA,USA,37.5561712,-122.0780632
BASH Gaming,Bangalore,,IND,12.971606,77.594376
Geewa,Prague 8,,CZE,50.0938491,14.4505336
Geewa,Berlin,,DEU,,
Major League Gaming,New York,NY,USA,40.752672,-73.97593
M3X Media,West Palm Beach,FL,USA,26.72868,-80.099946
Crispy Gamer,New York,NY,USA,40.750597,-73.985273
Unity Technologies,San Francisco,CA,USA,55.6924605,12.530107
Unity Technologies,Frederiksberg,,DNK,,
quietrevolution,London,,GBR,,
NorSun,Oslo,,NOR,,
BioVex,Oxon,,GBR,51.671711,-1.289082
BioVex,Woburn,MA,USA,42.508964,-71.13287
CamSemi,CAMBRIDGE,,GBR,,
CamSemi,Taipei City 114,,TWN,,
Fotech,"Odiham, Hampshire",,GBR,,
Heartscape,Columbia,MD,USA,39.2328783,-76.8204666
Achates Power,San Diego,CA,USA,,
Avocado Entertainment,Seoul,,KOR,,
AnySource Media,Malvern,PA,USA,40.054547,-75.515376
SCVNGR,Boston,MA,USA,42.3406534,-71.0680027
Owlient,Paris,,FRA,48.8308091,2.3032201
Z2Live,Seattle,WA,USA,47.6103008,-122.3399782
Suniva,Norcross,GA,USA,33.954713,-84.2213281
Southwest Windpower,Broomfield,CO,USA,,
Southwest Windpower,Flagstaff,AZ,USA,,
Southwest Windpower,50996 Cologne,,DEU,,
OPX Biotechnologies,Boulder,CO,USA,40.02375,-105.226353
Traversa Therapeutics,La Jolla,CA,USA,32.843245,-117.279345
Cerapedics,Westminster,CO,USA,39.8957185,-105.0932779
SolarEdge,Fremont,CA,USA,37.4757796,-121.9382415
SolarEdge,Grasbrunn (Munich),,DEU,,
SolarEdge,Tokyo,,JPN,,
SolarEdge,Hod Hasharon,,ISR,,
SolarEdge,Shanghai,,CHN,,
SolarEdge,Treviso,,ITA,,
Stemgent,Cambridge,MA,USA,,
iZumi Bio,South San Francisco,CA,USA,37.661523,-122.398667
Selecta Biosciences,Watertown,MA,USA,,
C12 Energy,CA,,USA,,
Environmental Operations,St. Louis,MO,USA,38.6093764,-90.1959689
Tribal Nova,Montreal,,CAN,45.5194549,-73.5849023
Alios BioPharma,South San Francisco,CA,USA,37.6664003,-122.451448
We Are Hunted,,CA,USA,,
Melinta,New Haven,CT,USA,41.305179,-72.93117
Melinta,Chicago,IL,USA,,
Arcxis Biotechnologies,Pleasanton,CA,USA,37.6589038,-121.9011968
Fisher Coachworks,Oak Park,MI,USA,42.487472,-83.197087
BiPar Sciences,Brisbane,CA,USA,37.674378,-122.387699
Serious Parody,Dundee,,GBR,56.462018,-2.970721
Novaled,Dresden,,DEU,51.0504088,13.7372621
Scoreloop,Munich,,DEU,,
Busca Corp,La Jolla,CA,USA,32.841791,-117.274602
Busca Corp,"Tijuana, B.C.",,MEX,32.5217442,-117.0274947
Busca Corp,Mexico City,,MEX,19.4164309,-99.1651395
BrainScope Company,Bethesda,MD,USA,,
Elevance Renewable Sciences,Woodridge,IL,USA,41.6750038,-88.0642145
Recyclebank,New York,NY,USA,40.7310476,-74.0078134
BrainCells,San Diego,CA,USA,32.893712,-117.237211
NewAuto Video Technology,Hubei,,CHN,,
Linekong,"Haidian, beijing",,CHN,,
SkyFuel,Arvada,CO,USA,39.862942,-105.206509
Helpful Technologies,Ft. Lauderdale,FL,USA,26.2032036,-80.1510951
Helpful Technologies,Rochester,NY,USA,,
Helpful Technologies,Princeton,NJ,USA,,
Helpful Technologies,Fort Lauderdale,FL,USA,,
QD Vision,Watertown,MA,USA,42.3678629,-71.1998364
Playdom,Palo Alto,CA,USA,37.393536,-122.076747
Playdom,Solana Beach,CA,USA,,
Redfern Integrated Optics,Santa Clara,CA,USA,37.380364,-121.9823779
Asteres,San Diego,CA,USA,32.88791,-117.176096
Lightning Gaming,Boothwyn,PA,USA,39.8728373,-75.4784988
Virgin Play,Madrid,,ESP,40.4273082,-3.6895115
Picarro,Santa Clara,CA,USA,,
Green Vision Systems,Tel Aviv,,ISR,,
Concert Pharmaceuticals,Lexington,MA,USA,42.4236783,-71.2459523
Bubbles and Beyond,Leipzig,,DEU,51.3296737,12.3274318
nanoTherics,"Stoke-on-Trent, Staffordshire",,GBR,,
Tolera Therapeutics,Kalamazoo,MI,USA,42.2927344,-85.5796432
Ecast,San Francisco,CA,USA,,
Pixelligent,College Park,MD,USA,38.992699,-76.93873
2 Minutes,Paris,,FRA,48.8502056,2.3698033
Ultracell,Livermore,CA,USA,37.6974864,-121.8138788
Ultracell,Vandalia,OH,USA,39.912944,-84.220287
Kickstarter,Brooklyn,NY,USA,,
Red Ambiental,,,MEX,,
Soliant Energy,Monrovia,CA,USA,34.144014,-118.001268
Rive Technology,Cambridge,MA,USA,,
Qingdao Land of State Power Environment Engineering,Qingdao,,CHN,,
TechnoSpin,New York,NY,USA,,
Rapid Action Packaging,London,,GBR,51.4698433,-0.2611303
Kythera Biopharmaceuticals,Calabasas,CA,USA,34.143507,-118.763605
GameGround,New York,NY,USA,40.756054,-73.986951
Quark Pharmaceuticals,Fremont,CA,USA,37.5511524,-122.060501
ECO2 Plastics,,CA,USA,37.7278201,-120.9220468
Enerpulse,Albuquerque,NM,USA,35.055164,-106.617561
ReliOn,Spokane,WA,USA,47.6858186,-117.1920026
LP Amina,Beijing,,CHN,,
H2scan,Valencia,CA,USA,34.4421433,-118.5987647
WiTricity,Watertown,MA,USA,42.36867,-71.150248
Arisdyne Systems,Cleveland,OH,USA,41.424425,-81.822531
EnzymeRx,Paramus,NJ,USA,40.9234048,-74.0838388
GenVault,Carlsbad,CA,USA,33.123303,-117.271875
OncoMed Pharmaceuticals,Redwood City,CA,USA,,
WorldWide Biggies,New York,NY,USA,,
Range Fuels,Broomfield,CO,USA,39.915572,-105.122053
Adaptive Ozone Solutions,Lenexa,KS,USA,38.984079,-94.715428
Wuxi Qiaolian Wind Power Technology,Wuxi,,CHN,,
Allied Resource Corporation,Wayne,PA,USA,40.0716406,-75.4198731
ACT Biotech,San Francisco,CA,USA,37.7871306,-122.4041075
Apieron,Menlo Park,CA,USA,37.482654,-122.172713
Innovative Biosensors,Rockville,MD,USA,39.110655,-77.154466
Sprig Toys,Fort Collins,CO,USA,40.5908212,-105.0809963
Glycos Biotechnologies,Houston,TX,USA,29.768442,-95.401093
CoaLogix,Charlotte,NC,USA,35.295706,-80.995054
Stellaris,North Billerica,MA,USA,42.56282,-71.304385
Senergen Devices,Fremont,CA,USA,37.4930499,-121.9557248
Horizon Discovery,Cambridge,,GBR,,
Procarta Biosystems,Colney Lane,,GBR,,
GenKyoTex,Geneva,,CHE,46.1685443,6.1036257
ERA Biotech,Barcelona,,ESP,,
Isconova,Uppsala,,SWE,,
Wasatch Wind,Heber City,UT,USA,40.4960244,-111.4199963
Micrima,,,GBR,,
Externautics,Siena,,ITA,43.3368952,11.3075198
Hexaformer,,,SWE,59.4995085,17.9263734
P21,Munich,,DEU,48.0418471,11.6644864
Biofisica,Duluth,GA,USA,34.062588,-84.16923
BioProtect,,,ISR,,
CoalTek,Tucker,GA,USA,33.84819,-84.193858
Innovative Spinal Technologies,Plano,TX,USA,33.0382884,-96.8300836
Innovative Spinal Technologies,"Mansfield, MA",MD,USA,42.030266,-71.2392
Singulex,Alameda,CA,USA,37.723803,-122.240937
S*Bio,Singapore,,SGP,,
VistaGen Therapeutics,South San Francisco,CA,USA,37.6656476,-122.3843489
KaloBios Pharmaceuticals,South San Francisco,CA,USA,37.6534817,-122.3956474
Innotech Solar,,,NOR,,
Prosensa,,,NLD,52.1680188,4.4658637
Prosensa,Leiden,,NLD,52.158494,4.496199
Sagent Pharmaceuticals,Schaumburg,IL,USA,42.061187,-88.0794478
GT Solar,Merrimack,NH,USA,42.830989,-71.489876
GT Solar,Missoula,MT,USA,46.8719508,-113.9934266
GT Solar,Shanghai,,CHN,35.8640194,120.0113341
GT Solar,Beijing,,CHN,,
Lightwave Power,Cambridge,ME,USA,42.392628,-71.151216
BioStable,"Austin,",TX,USA,30.327779,-97.669955
Aileron Therapeutics,,MA,USA,42.101977,-72.637994
Aileron Therapeutics,Cambridge,MA,USA,42.3736158,-71.1097335
Diagnoplex,Lausanne,,CHE,46.5567716,6.6833176
NanoString Technologies,Seattle,WA,USA,47.6234781,-122.3343544
Metrolight,Netanya,,ISR,32.3462,34.8615
Metrolight,Franklin,TN,USA,35.947578,-86.809647
Applied Genetics Technologies Corporation,Alachua,FL,USA,29.7847641,-82.4768036
Semprus BioSciences,Cambridge,MA,USA,,
Vaprema,Saint-Romuald (QuÃ©bec),,CAN,,
Infinite Power Solutions,Littleton,CO,USA,39.5688576,-105.1236849
Solix Biofuels,Fort Collins,CO,USA,40.5932386,-105.0766501
Stormfisher Biogas,Toronto,,CAN,43.6538625,-79.3670135
ElectraTherm,Carson City,NV,USA,39.1880124,-119.7480697
Quintiles,Austin,TX,USA,30.213039,-97.751754
EnerTech Environmental,Atlanta,GA,USA,33.7726102,-84.3507414
Arena Pharmaceuticals,San Diego,CA,USA,32.889321,-117.184408
Versartis,Redwood City,CA,USA,37.523194,-122.259179
Cempra,Chapel Hill,NC,USA,35.911347,-78.976038
Anulex,Minnetonka,MN,USA,44.9025336,-93.4432438
Virdia,Redwood City,CA,USA,37.523311,-122.259154
Control Medical Technology,Park City,UT,USA,40.743503,-111.5468301
EnerNOC,Boston,MA,USA,42.355246,-71.056915
Turbine Air Systems,Houston,TX,USA,29.6982817,-95.3500171
Greenline Industries,Larkspur,CA,USA,37.9471709,-122.5071031
POINT Biomedical,San Carlos,CA,USA,37.5062006,-122.2506373
Solexant,San Jose,CA,USA,37.3825306,-121.9198306
Avantium Technologies,Amsterdam,,NLD,52.3965603,4.8516964
Promosome,New York,NY,USA,42.2774845,-74.304914
Envia Systems,Newark,CA,USA,,
Chemclin,Beijing,,CHN,40.081069,116.2475611
Osprey Pharmaceuticals USA,San Francisco,CA,USA,37.775196,-122.419204
NGM Biopharmaceuticals,South San Francisco,CA,USA,37.656246,-122.399735
MacroGenics,Rockville,MD,USA,,
LigoCyte Pharmaceuticals,Bozeman,MT,USA,45.6686485,-111.0662396
Ostara,Vancouver,,CAN,49.2883553,-123.1233545
FORMA Therapeutics,Cambridge,ME,USA,42.3595196,-71.1156913
Alimera Sciences,Alpharetta,GA,USA,34.093625,-84.242809
Sutro Biopharma,South San Francisco,CA,USA,37.647198,-122.394584
Genizon BioSciences,Quebec,,CAN,45.4858119,-73.7152901
PIERIS Proteolab,Freising-Weihenstephan,,DEU,,
SolarReserve,Santa Monica,CA,USA,34.028173,-118.471235
Enzymotec,Migdal HaEmeq,,ISR,,
diaDexus,South San Francisco,CA,USA,37.6625446,-122.3888507
CT Atlantic,Schlieren,,CHE,47.3993054,8.4600149
NKT Therapeutics,Newton,ME,USA,42.3097378,-71.214605
Seahorse Bioscience,North Billerica,ME,USA,42.56282,-71.304385
Primaeva Medical,Pleasanton,CA,USA,37.686513,-121.895516
SynapCell,Grenoble,,FRA,45.1734252,5.7401962
SynapCell,La Tronche,,FRA,,
Natrix Separations,Ontario,,CAN,43.3934803,-79.7695631
Proxeon,Odense C,,DNK,55.4058282,10.3882064
Agrisoma Biosciences,North Vancouver,,CAN,49.3181212,-123.1017318
Kylin Therapeutics,West Lafayette,IN,USA,40.4653401,-86.9316959
MIOX,Albuquerque,NM,USA,35.199874,-106.582494
Albireo,Gothenburg,,SWE,57.6857201,11.955296
Linkage Biosciences,South San Francisco,CA,USA,37.7863728,-122.438545
Living Proof,Cambridge,MA,USA,42.3661884,-71.0802975
Environmental Operating Solutions,Bourne,MA,USA,41.7333505,-70.5893753
Hemarina,MORLAIX,,FRA,,
Microstim,LÃ¼beck,,DEU,53.8353585,10.6976787
Siluria Technologies,San Francisco,CA,USA,37.4484914,-122.1802812
Luca Technologies,Golden,CO,USA,39.720088,-105.192312
Luca Technologies,Gillette,WY,USA,44.2264,-105.604
Biolex Therapeutics,Pittsboro,NC,USA,35.7259177,-79.1791771
Aposense,Petach-Tikva,,ISR,,
F2G,Manchester,,GBR,,
Bigpoint,Hamburg,,DEU,53.5973055,9.9762519
Bigpoint,San Francisco,CA,USA,,
Bigpoint,Berlin,,DEU,,
Bigpoint,Ta 'Xbiex,,MLT,,
Brainsgate,,,ISR,,
Union Spring Pharmaceuticals,Union,KY,USA,,
Accera,Broomfield,CO,USA,,
PhotoThera,Carlsbad,CA,USA,33.13324,-117.275027
Core Dynamics,Orangeburg,NY,USA,41.032802,-73.972888
Exent,New York,NY,USA,40.7523796,-74.005568
Exent,Petach-Tikva,,ISR,,
Exent,San Francisco,CA,USA,37.787646,-122.402759
Chronix Biomedical,San Jose,CA,USA,37.320052,-121.877636
Visiogen,Irvine,CA,USA,33.646018,-117.711994
Palyon Medical,New York,NY,USA,40.756054,-73.986951
Palyon Medical,,CA,USA,,
Lycera,Ann Arbor,MI,USA,42.277416,-83.733276
iScience Interventional,Menlo Park,CA,USA,37.4805104,-122.1807356
Intradigm Corporation,Palo Alto,CA,USA,37.435768,-122.110835
Alnara Pharmaceuticals,Cambridge,MA,USA,42.3624253,-71.116031
Zymeworks,"Vancouver,BC",,CAN,49.2644563,-123.1356715
Athenix,Research Triangle Park,NC,USA,35.8893657,-78.880602
Deerpath Energy,Marblehead,MA,USA,42.508619,-70.84422
HaloSource,Bothell,WA,USA,47.799279,-122.210048
Nuventix,Austin,TX,USA,30.239229,-97.834211
Hycrete,Carlstadt,NJ,USA,40.82366,-74.055948
Nektar Therapeutics,San Carlos,CA,USA,37.519102,-122.264348
TARIS Biomedical,Lexington,MA,USA,42.4236783,-71.2459523
XDx,Brisbane,CA,USA,37.691226,-122.4040269
Delphi,,MI,USA,42.603532,-83.16134
EcoSMART Technologies,Alpharetta,GA,USA,34.0374308,-84.2952754
CoMentis,South San Francisco,CA,USA,37.646457,-122.394008
ERTH Technologies,Longmont,CO,USA,40.093828,-105.187208
Principle Power,Seattle,WA,USA,47.5992095,-122.3343564
NPS,Tewkesbury,,GBR,,
Sunovia,Sarasota,FL,USA,27.4281996,-82.5362596
Woodland Biofuels,Ontario,,CAN,43.6455935,-79.6944325
Clean Mobile,,,DEU,48.0554409,11.6075086
Inspire Medical Systems,Maple Grove,MN,USA,45.069344,-93.4034162
Bioscale,LEXINGTON,MA,USA,42.3609606,-71.1017618
SoloPower,San Jose,CA,USA,37.253463,-121.782906
Neosens,LabÃ¨ge Cedex,,FRA,,
Coskata,Warrenville,IL,USA,41.8035954,-88.159371
Solairedirect,Paris,,FRA,48.8745951,2.3210737
Qteros,Marlborough,MA,USA,42.3253727,-71.5854884
Trony Solar,Shenzhen,,USA,,
PopCap Games,Seattle,WA,USA,47.6161693,-122.3451897
Northern Power Systems,Barre,VT,USA,44.170982,-72.486152
GreenVolts,Fremont,CA,USA,37.790153,-122.398669
AltaRock Energy,Seattle,WA,USA,47.6859295,-122.3373282
AltaRock Energy,Seattle,WA,USA,47.620973,-122.347276
Semprius,Durham,NC,USA,35.8948471,-78.8923523
MBA Polymers,Richmond,CA,USA,37.93039,-122.374927
Ph03nix New Media,"Calgary, Alberta",,CAN,,
Moonfruit,London,,GBR,,
Savara Pharmaceuticals,Austin,TX,USA,,
Energy and Power Solutions,Trabuco Canyon,CA,USA,,
Enecsys,Cambridge,,GBR,,
Nordic Windpower,Berkeley,CA,USA,37.863464,-122.3153453
Chroma Therapeutics,Oxon,,GBR,,
Techpool Bio-Pharma,,,CHN,,
Eyetronics,,,BEL,,
Crocus Technology,Sunnyvale,CA,USA,37.386774,-121.987661
Crocus Technology,Grenoble Cedex,,FRA,,
Antix Labs,Berkshire,,GBR,,
Neodyne Biosciences,Menlo Park,CA,USA,37.483483,-122.17666
NanoBio,Ann Arbor,MI,USA,42.3079711,-83.6927623
OptiMedica,Santa Clara,CA,USA,37.3777985,-121.9744545
Aqwise,,,ISR,,
Aqwise,Herzliya,,ISR,32.162413,34.844675
Tiny Speck,Vancouver,,CAN,49.2824551,-123.109217
NanoInk,Skokie,IL,USA,42.041574,-87.749253
Chestnut Medical,Menlo Park,CA,USA,37.4819462,-122.1717587
SolarPower Israel,,,ISR,,
